Total FP,Elements/Thread,num_fields,phase_limit,Device GFlop/s,Arithmetic Intensity,Global Loads/Block,phase3_shared_loads,Dimensions,Time Steps,Local Memory Size,Useful FP,num_sfu,EventElapsed,Max Work-Group Size,Padding,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,Device,data_size,Register Usage,phase4_global_stores,Actual GFlop/s,Padded Size,Max Blocks,Num Blocks (Shared),Shared Stores/Block,Global Stores/Block,Time Tile Size,Global Memory Size,phase2_global_loads,phase2_shared_loads,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,Real Size,num_fp,Problem Size,shared_stores,Max Compute Units,
172032,1,1,3,192.751,1,2688,7,3,64,49152,14336,2,0.637451,1024,3,3200,50,50,100,Tesla C2050,4,12,1,16.0626,206,8,16,768,384,3,2817720320,7,0,20,8,8,6,0.0833333,0.637507,1000,5376,200,32,200,1,14,
172032,1,1,3,201.889,1,2688,7,3,64,49152,14336,2,0.608595,1024,3,3200,100,50,50,Tesla C2050,4,12,1,16.8241,206,8,16,768,384,3,2817720320,7,0,20,6,8,8,0.0833333,0.608651,1000,5376,200,32,200,1,14,
229376,1,1,3,185.825,1,3584,7,3,64,49152,28672,2,0.440787,1024,3,4000,50,50,50,Tesla C2050,4,12,1,23.2281,206,8,13,1024,512,3,2817720320,7,0,20,8,8,8,0.125,0.440846,1000,7168,200,32,200,1,14,
344064,1,1,3,195.522,1,5376,7,3,64,49152,43008,2,0.370631,1024,3,5760,48,16,96,Tesla C2050,4,12,1,24.4402,198,8,9,1536,768,3,2817720320,7,0,20,8,16,6,0.125,0.370688,1000,10752,192,32,200,1,14,
458752,1,1,3,168.108,1,7168,7,3,64,49152,86016,2,0.287357,1024,3,7200,48,16,48,Tesla C2050,4,12,1,31.5203,198,8,7,2048,1024,3,2817720320,7,0,20,8,16,8,0.1875,0.287424,1000,14336,192,32,200,1,14,
229376,1,1,3,183.692,1,3584,7,3,64,49152,3584,2,3.5677,1024,4,4000,100,100,100,Tesla C2050,4,12,1,2.87019,208,8,13,1536,512,4,2817720320,7,0,20,8,8,8,0.015625,3.5677,1000,10752,200,32,200,1,14,
458752,1,1,3,168.835,1,7168,7,3,64,49152,17920,2,1.55262,1024,4,7200,100,20,100,Tesla C2050,4,12,1,6.59513,208,8,7,3072,1024,4,2817720320,7,0,20,8,16,8,0.0390625,1.55266,1000,21504,200,32,200,1,14,
28672,2,1,3,256.667,1,448,7,3,64,49152,28672,2,0.0398277,1024,1,960,100,25,50,Tesla C2050,4,19,1,256.667,202,8,52,0,64,1,2817720320,7,0,20,2,8,2,1,0.039896,1000,0,200,32,200,1,14,
57344,2,1,3,441.057,1,896,7,3,64,49152,57344,2,0.023145,1024,1,1440,50,25,50,Tesla C2050,4,19,1,441.057,202,8,35,0,128,1,2817720320,7,0,20,4,8,2,1,0.023217,1000,0,200,32,200,1,14,
86016,2,1,3,458.993,1,1344,7,3,64,49152,86016,2,0.0196637,1024,1,1920,32,24,48,Tesla C2050,4,19,1,458.993,194,8,26,0,192,1,2817720320,7,0,20,6,8,2,1,0.0197382,1000,0,192,32,200,1,14,
114688,2,1,3,461.988,1,1792,7,3,64,49152,114688,2,0.0220912,1024,1,2400,25,25,50,Tesla C2050,4,19,1,461.988,202,8,21,0,256,1,2817720320,7,0,20,8,8,2,1,0.0221651,1000,0,200,32,200,1,14,
57344,2,1,3,441.111,1,896,7,3,64,49152,57344,2,0.0231423,1024,1,1600,100,25,25,Tesla C2050,4,19,1,441.111,202,8,31,0,128,1,2817720320,7,0,20,2,8,4,1,0.0232141,1000,0,200,32,200,1,14,
114688,2,1,3,462.073,1,1792,7,3,64,49152,114688,2,0.0220906,1024,1,2400,50,25,25,Tesla C2050,4,19,1,462.073,202,8,21,0,256,1,2817720320,7,0,20,4,8,4,1,0.022161,1000,0,200,32,200,1,14,
172032,2,1,3,461.457,1,2688,7,3,64,49152,172032,2,0.0195631,1024,1,3200,32,24,24,Tesla C2050,4,19,1,461.457,194,8,16,0,384,1,2817720320,7,0,20,6,8,4,1,0.0196328,1000,0,192,32,200,1,14,
229376,2,1,3,461.155,1,3584,7,3,64,49152,229376,2,0.0221335,1024,1,4000,25,25,25,Tesla C2050,4,19,1,461.155,202,8,13,0,512,1,2817720320,7,0,20,8,8,4,1,0.0222051,1000,0,200,32,200,1,14,
86016,2,1,3,458.954,1,1344,7,3,64,49152,86016,2,0.0196744,1024,1,2240,96,24,16,Tesla C2050,4,19,1,458.954,194,8,22,0,192,1,2817720320,7,0,20,2,8,6,1,0.0197399,1000,0,192,32,200,1,14,
172032,2,1,3,460.702,1,2688,7,3,64,49152,172032,2,0.0195943,1024,1,3360,48,24,16,Tesla C2050,4,19,1,460.702,194,8,15,0,384,1,2817720320,7,0,20,4,8,6,1,0.019665,1000,0,192,32,200,1,14,
258048,2,1,3,461.429,1,4032,7,3,64,49152,258048,2,0.019565,1024,1,4480,32,24,16,Tesla C2050,4,19,1,461.429,194,8,11,0,576,1,2817720320,7,0,20,6,8,6,1,0.019634,1000,0,192,32,200,1,14,
344064,2,1,3,459.065,1,5376,7,3,64,49152,344064,2,0.0196663,1024,1,5600,24,24,16,Tesla C2050,4,19,1,459.065,194,8,9,0,768,1,2817720320,7,0,20,8,8,6,1,0.0197351,1000,0,192,32,200,1,14,
114688,2,1,3,460.729,1,1792,7,3,64,49152,114688,2,0.0195926,1024,1,2880,96,24,12,Tesla C2050,4,19,1,460.729,194,8,18,0,256,1,2817720320,7,0,20,2,8,8,1,0.0196638,1000,0,192,32,200,1,14,
229376,2,1,3,460.027,1,3584,7,3,64,49152,229376,2,0.0196237,1024,1,4320,48,24,12,Tesla C2050,4,19,1,460.027,194,8,12,0,512,1,2817720320,7,0,20,4,8,8,1,0.0196939,1000,0,192,32,200,1,14,
344064,2,1,3,459.999,1,5376,7,3,64,49152,344064,2,0.0196226,1024,1,5760,32,24,12,Tesla C2050,4,19,1,459.999,194,8,9,0,768,1,2817720320,7,0,20,6,8,8,1,0.019695,1000,0,192,32,200,1,14,
458752,2,1,3,459.159,1,7168,7,3,64,49152,458752,2,0.0196574,1024,1,7200,24,24,12,Tesla C2050,4,19,1,459.159,194,8,7,0,1024,1,2817720320,7,0,20,8,8,8,1,0.019731,1000,0,192,32,200,1,14,
57344,2,1,3,439.815,1,896,7,3,64,49152,57344,2,0.0205268,1024,1,1728,96,12,48,Tesla C2050,4,19,1,439.815,194,8,29,0,128,1,2817720320,7,0,20,2,16,2,1,0.0205989,1000,0,192,32,200,1,14,
