fb_subp1_read_sectors,Elements/Thread,num_fields,Total FP/Block,Actual GFlop/s,Device GFlop/s,l1_global_load_hit,Global Loads/Block,phase3_shared_loads,Dimensions,phase2_global_loads,phase2_shared_loads,EventElapsed,Time Steps,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,Real Per Block X,Real Per Block Y,l1_global_load_miss,data_size,Register Usage,phase4_global_stores,phase_limit,Padded Size,Useful FP/Block,Shared Stores/Block,Global Stores/Block,Time Tile Size,fb_subp0_read_sectors,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,Real Size,shared_stores,
7121458.406250,2,1,7680,34.3965,34.1213,590336.015625,7680,5,2,5,0,0.334857,64,6864,1,93,250,64,24,193821.187500,4,17,1,0,6002,7680,0,1536,1,7125806.984375,5,1,64,12,1,0.334918,1000,0,6000,1,
6939667.875000,2,1,3840,34.9765,34.6967,651919.171875,3840,5,2,5,0,0.329298,64,3920,1,62,750,96,8,136182.984375,4,17,1,0,6002,3840,0,768,1,6940538.953125,5,1,96,4,1,0.329364,1000,0,6000,1,
7029742.203125,2,1,5760,34.9343,34.6548,645578.875000,5760,5,2,5,0,0.3297,64,5488,1,62,500,96,12,148602.546875,4,17,1,0,6002,5760,0,1152,1,7027377.734375,5,1,96,6,1,0.329762,1000,0,6000,1,
7032520.750000,2,1,7680,35.7224,35.4366,636483.390625,7680,5,2,5,0,0.322424,64,7056,1,62,375,96,16,152363.046875,4,17,1,0,6002,7680,0,1536,1,7032567.296875,5,1,96,8,1,0.322487,1000,0,6000,1,
7114046.546875,2,1,9600,28.6483,28.4191,614897.046875,9600,5,2,5,0,0.40205,64,8624,1,62,300,96,20,172634.031250,4,17,1,0,6002,9600,0,1920,1,7113636.718750,5,1,96,10,1,0.402118,1000,0,6000,1,
6828845.843750,2,1,5120,37.7253,37.0211,643932.687500,5120,5,2,5,0,0.305302,64,5200,1,46,750,128,8,144421.906250,4,17,1,0,6002,5120,0,1024,1,6828501.968750,5,1,128,4,1,0.305365,1000,0,6000,1,
6907337.593750,2,1,7680,36.7003,36.0152,643187.468750,7680,5,2,5,0,0.313833,64,7280,1,46,500,128,12,137391.828125,4,17,1,0,6002,7680,0,1536,1,6905643.812500,5,1,128,6,1,0.313894,1000,0,6000,1,
6996754.109375,2,1,10240,29.561,29.0092,618888.687500,10240,5,2,5,0,0.389637,64,9360,1,46,375,128,16,160046.562500,4,17,1,0,6002,10240,0,2048,1,6998394.609375,5,1,128,8,1,0.389702,1000,0,6000,1,
7312409.062500,2,1,2560,45.6784,64.9648,862236.687500,1280,5,2,5,0,0.252134,64,1360,1,200,1000,30,6,275884.468750,4,19,1,0,6004,1800,256,256,2,7313379.687500,5,1,32,4,0.703125,0.252198,1000,1280,6000,1,
7317913.218750,2,1,3840,48.0791,61.5413,773247.218750,1920,5,2,5,0,0.239541,64,1904,1,200,600,30,10,243063.000000,4,19,1,0,6004,3000,384,384,2,7316531.281250,5,1,32,6,0.78125,0.239605,1000,1920,6000,1,
7277482.500000,2,1,5120,49.5644,60.3408,738397.562500,2560,5,2,5,0,0.232362,64,2448,1,200,428,30,14,228992.062500,4,19,1,0,6004,4200,512,512,2,7276435.250000,5,1,32,8,0.820312,0.232425,1000,2560,6000,1,
7236269.750000,2,1,6400,50.696,60.024,710740.937500,3200,5,2,5,0,0.227178,64,2992,1,200,333,30,18,229798.812500,4,19,1,0,6004,5400,640,640,2,7235702.562500,5,1,32,10,0.84375,0.227237,1000,3200,6000,1,
7180480.312500,2,1,7680,50.9748,59.1579,691207.718750,3840,5,2,5,0,0.225925,64,3536,1,200,272,30,22,230594.281250,4,19,1,0,6004,6600,768,768,2,7180424.250000,5,1,32,12,0.859375,0.225994,1000,3840,6000,1,
