fb_subp1_read_sectors,Elements/Thread,num_fields,Total FP/Block,Actual GFlop/s,Device GFlop/s,l1_global_load_hit,Global Loads/Block,phase3_shared_loads,Dimensions,phase2_global_loads,phase2_shared_loads,EventElapsed,Time Steps,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,Real Per Block X,Real Per Block Y,l1_global_load_miss,data_size,Register Usage,phase4_global_stores,phase_limit,Padded Size,Useful FP/Block,Shared Stores/Block,Global Stores/Block,Time Tile Size,fb_subp0_read_sectors,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,shared_stores,
14217159.230769,1,1,211200,32.2071,175.207,3804522.769231,5760,13,2,13,0,3.00455,64,14112,1,68,3000,88,2,1385235.846154,4,17,1,0,6010,38720,11520,2880,5,14252013.153846,42,1,96,10,0.183333,3.00455,1000,23040,1,
16547419.454545,1,1,101376,25.7628,224.239,5179926.727273,2304,13,2,13,0,3.75611,64,5712,1,272,3000,22,2,3127673.090909,4,17,1,0,6012,11616,5760,1152,6,16597730.545455,42,1,32,12,0.114583,3.75611,1000,11520,1,
16199220.727273,1,1,202752,28.7322,204.113,4691548.363636,4608,13,2,13,0,3.36793,64,11088,1,111,3000,54,2,2085352.454545,4,17,1,0,6012,28512,11520,2304,6,16244854.454545,42,1,64,12,0.140625,3.36793,1000,23040,1,
9062985.296875,2,1,11264,211.573,211.008,576014.343750,1536,13,2,13,0,0.457318,64,4080,1,187,750,32,8,285172.734375,4,20,1,0,6002,11264,0,768,1,9101907.765625,42,1,32,4,1,0.457375,1000,0,1,
9014077.890625,2,1,16896,215.992,215.416,548885.703125,2304,13,2,13,0,0.447958,64,5712,1,187,500,32,12,322004.515625,4,20,1,0,6002,16896,0,1152,1,9012430.187500,42,1,32,6,1,0.448016,1000,0,1,
9077325.390625,2,1,22528,210.994,210.431,562093.234375,3072,13,2,13,0,0.458571,64,7344,1,187,375,32,16,306906.062500,4,20,1,0,6002,22528,0,1536,1,9077411.203125,42,1,32,8,1,0.45863,1000,0,1,
9042229.093750,2,1,28160,206.246,205.696,550962.203125,3840,13,2,13,0,0.469125,64,8976,1,187,300,32,20,320597.437500,4,20,1,0,6002,28160,0,1920,1,9043155.906250,42,1,32,10,1,0.469188,1000,0,1,
9087340.312500,2,1,33792,203.942,203.398,528697.234375,4608,13,2,13,0,0.474431,64,10608,1,187,250,32,24,343699.812500,4,20,1,0,6002,33792,0,2304,1,9087837.203125,42,1,32,12,1,0.474488,1000,0,1,
8925087.859375,2,1,22528,200.644,199.038,643649.906250,3072,13,2,13,0,0.48223,64,7920,1,93,750,64,8,222784.093750,4,20,1,0,6002,22528,0,1536,1,8924570.734375,42,1,64,4,1,0.482288,1000,0,1,
8947748.484375,2,1,33792,194.502,192.946,647846.625000,4608,13,2,13,0,0.497464,64,11088,1,93,500,64,12,219282.390625,4,20,1,0,6002,33792,0,2304,1,8946965.046875,42,1,64,6,1,0.497517,1000,0,1,
8982614.328125,2,1,45056,190.815,189.289,636243.968750,6144,13,2,13,0,0.507069,64,14256,1,93,375,64,16,230707.375000,4,20,1,0,6002,45056,0,3072,1,8981768.015625,42,1,64,8,1,0.507129,1000,0,1,
8999690.390625,2,1,56320,186.405,184.913,626683.203125,7680,13,2,13,0,0.519073,64,17424,1,93,300,64,20,240316.750000,4,20,1,0,6002,56320,0,3840,1,8999327.734375,42,1,64,10,1,0.519129,1000,0,1,
9018018.734375,2,1,67584,184.089,182.616,600573.187500,9216,13,2,13,0,0.525607,64,20592,1,93,250,64,24,265660.265625,4,20,1,0,6002,67584,0,4608,1,9017756.031250,42,1,64,12,1,0.525659,1000,0,1,
8865720.921875,2,1,33792,195.418,193.854,663178.515625,4608,13,2,13,0,0.495122,64,11760,1,62,750,96,8,203899.921875,4,20,1,0,6002,33792,0,2304,1,8865412.250000,42,1,96,4,1,0.495185,1000,0,1,
8946892.046875,2,1,50688,186.579,185.086,665293.781250,6912,13,2,13,0,0.518586,64,16464,1,62,500,96,12,201784.125000,4,20,1,0,6002,50688,0,3456,1,8946527.015625,42,1,96,6,1,0.518644,1000,0,1,
8992884.421875,2,1,67584,184.378,182.903,631483.250000,9216,13,2,13,0,0.524768,64,21168,1,62,375,96,16,235528.515625,4,20,1,0,6002,67584,0,4608,1,8992534.015625,42,1,96,8,1,0.524834,1000,0,1,
9048130.906250,2,1,84480,139.512,138.396,597057.765625,11520,13,2,13,0,0.693564,64,25872,1,62,300,96,20,269956.640625,4,20,1,0,6002,84480,0,5760,1,9048189.453125,42,1,96,10,1,0.693619,1000,0,1,
8801465.718750,2,1,45056,195.718,192.064,664984.234375,6144,13,2,13,0,0.494371,64,15600,1,46,750,128,8,192849.312500,4,20,1,0,6002,45056,0,3072,1,8801713.734375,42,1,128,4,1,0.494426,1000,0,1,
8874792.687500,2,1,67584,187.823,184.317,645935.343750,9216,13,2,13,0,0.515149,64,21840,1,46,500,128,12,211849.921875,4,20,1,0,6002,67584,0,4608,1,8875102.640625,42,1,128,6,1,0.515208,1000,0,1,
8883862.281250,2,1,90112,140.55,137.926,610218.218750,12288,13,2,13,0,0.688442,64,28080,1,46,375,128,16,247348.984375,4,20,1,0,6002,90112,0,6144,1,8882985.015625,42,1,128,8,1,0.688495,1000,0,1,
9477036.437500,2,1,22528,167.437,238.132,841658.875000,1536,13,2,13,0,0.577882,64,4080,1,200,1000,30,6,401152.937500,4,20,1,0,6004,15840,768,768,2,9481323.062500,42,1,32,4,0.703125,0.577938,1000,1536,1,
9380347.500000,2,1,33792,175.409,224.523,775584.531250,2304,13,2,13,0,0.551613,64,5712,1,200,600,30,10,343138.656250,4,20,1,0,6004,26400,1152,1152,2,9384528.500000,42,1,32,6,0.78125,0.551671,1000,2304,1,
9259506.625000,2,1,45056,179.772,218.858,738516.343750,3072,13,2,13,0,0.538224,64,7344,1,200,428,30,14,325565.593750,4,20,1,0,6004,36960,1536,1536,2,9263011.000000,42,1,32,8,0.820312,0.538283,1000,3072,1,
9180084.250000,2,1,56320,186.466,220.776,716535.781250,3840,13,2,13,0,0.518899,64,8976,1,200,333,30,18,318105.500000,4,20,1,0,6004,47520,1920,1920,2,9183239.406250,42,1,32,10,0.84375,0.518958,1000,3840,1,
9114375.812500,2,1,67584,188.639,218.922,702307.906250,4608,13,2,13,0,0.512921,64,10608,1,200,272,30,22,311626.343750,4,20,1,0,6004,58080,2304,2304,2,9118555.375000,42,1,32,12,0.859375,0.51298,1000,4608,1,
9479475.062500,2,1,45056,160.766,219.5,907766.437500,3072,13,2,13,0,0.601861,64,7920,1,96,1000,62,6,284888.750000,4,20,1,0,6004,32736,1536,1536,2,9483080.750000,42,1,64,4,0.726562,0.601917,1000,3072,1,
9406518.843750,2,1,67584,178.451,219.28,828522.750000,4608,13,2,13,0,0.542205,64,11088,1,96,600,62,10,244948.500000,4,20,1,0,6004,54560,2304,2304,2,9409439.906250,42,1,64,6,0.807292,0.542267,1000,4608,1,
9249827.062500,2,1,90112,182.89,213.749,778712.093750,6144,13,2,13,0,0.529045,64,14256,1,96,428,62,14,242069.343750,4,20,1,0,6004,76384,3072,3072,2,9254362.500000,42,1,64,8,0.847656,0.529104,1000,6144,1,
9126938.875000,2,1,112640,183.14,208.164,745766.500000,7680,13,2,13,0,0.528326,64,17424,1,96,333,62,18,247293.718750,4,20,1,0,6004,98208,3840,3840,2,9128878.437500,42,1,64,10,0.871875,0.528382,1000,7680,1,
9075328.906250,2,1,135168,186.726,208.034,731580.125000,9216,13,2,13,0,0.518174,64,20592,1,96,272,62,22,241481.593750,4,20,1,0,6004,120032,4608,4608,2,9080462.937500,42,1,64,12,0.888021,0.518234,1000,9216,1,
9469428.750000,2,1,67584,161.353,216.858,923284.625000,4608,13,2,13,0,0.599676,64,11760,1,63,1000,94,6,250776.875000,4,20,1,0,6004,49632,2304,2304,2,9472665.937500,42,1,96,4,0.734375,0.59973,1000,4608,1,
9239901.375000,2,1,101376,172.46,208.608,827308.656250,6912,13,2,13,0,0.561047,64,16464,1,63,600,94,10,229783.156250,4,20,1,0,6004,82720,3456,3456,2,9241070.125000,42,1,96,6,0.815972,0.561103,1000,6912,1,
9138961.312500,2,1,135168,180.899,208.118,785915.500000,9216,13,2,13,0,0.534869,64,21168,1,63,428,94,14,219397.062500,4,20,1,0,6004,115808,4608,4608,2,9143893.187500,42,1,96,8,0.856771,0.534927,1000,9216,1,
9061999.531250,2,1,168960,150.898,168.837,718850.593750,11520,13,2,13,0,0.641222,64,25872,1,63,333,94,18,258789.843750,4,20,1,0,6004,148896,5760,5760,2,9070628.468750,42,1,96,10,0.88125,0.64128,1000,11520,1,
9415499.062500,2,1,90112,158.736,212.213,927130.125000,6144,13,2,13,0,0.609557,64,15600,1,47,1000,126,6,241186.906250,4,20,1,0,6004,66528,3072,3072,2,9417298.406250,42,1,128,4,0.738281,0.609614,1000,6144,1,
9279969.593750,2,1,135168,173.617,208.895,835284.312500,9216,13,2,13,0,0.557309,64,21840,1,47,600,126,10,216169.500000,4,20,1,0,6004,110880,4608,4608,2,9284345.343750,42,1,128,6,0.820312,0.557366,1000,9216,1,
9110175.656250,2,1,180224,148.658,170.575,769783.187500,12288,13,2,13,0,0.649149,64,28080,1,47,428,126,14,230586.500000,4,20,1,0,5996,155232,6144,6144,2,9113946.437500,42,1,128,8,0.861328,0.649209,1000,12288,1,
10426953.045455,2,1,33792,111.096,253.595,1356879.818182,1536,13,2,13,0,0.87098,64,4080,1,214,1500,28,4,637556.772727,4,20,1,0,6006,14784,1536,768,3,10433257.727273,42,1,32,4,0.4375,0.871031,1000,3072,1,
10381583.636364,2,1,50688,144.787,247.875,1035078.818182,2304,13,2,13,0,0.66829,64,5712,1,214,750,28,8,460987.318182,4,20,1,0,6006,29568,2304,1152,3,10386324.727273,42,1,32,6,0.583333,0.668347,1000,4608,1,
10175422.636364,2,1,67584,158.764,241.604,925600.590909,3072,13,2,13,0,0.609453,64,7344,1,214,500,28,12,404490.454545,4,20,1,0,6006,44352,3072,1536,3,10179075.000000,42,1,32,8,0.65625,0.609508,1000,6144,1,
10010808.181818,2,1,84480,167.46,238.909,869366.181818,3840,13,2,13,0,0.577805,64,8976,1,214,375,28,16,377465.409091,4,20,1,0,6006,59136,3840,1920,3,10015474.318182,42,1,32,10,0.7,0.577859,1000,7680,1,
9896203.090909,2,1,101376,171.939,235.488,833041.954545,4608,13,2,13,0,0.562746,64,10608,1,214,300,28,20,363793.727273,4,20,1,0,6006,73920,4608,2304,3,9900043.863636,42,1,32,12,0.729167,0.562804,1000,9216,1,
