Total FP,fb_subp1_read_sectors,Elements/Thread,num_fields,phase_limit,Device GFlop/s,l1_global_load_hit,Arithmetic Intensity,Global Loads/Block,phase3_shared_loads,Dimensions,Time Steps,Local Memory Size,Useful FP,EventElapsed,Max Work-Group Size,Padding,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,l1_global_load_miss,data_size,Register Usage,phase4_global_stores,Actual GFlop/s,Padded Size,Max Blocks,Num Blocks (Shared),Shared Stores/Block,Global Stores/Block,Time Tile Size,Global Memory Size,phase2_global_loads,phase2_shared_loads,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,fb_subp0_read_sectors,Real Size,Problem Size,shared_stores,Max Compute Units,
458752,2430547.937500,4,1,0,13.8129,159402.578125,1,7168,5,3,64,49152,458752,0.229498,1024,1,8160,48,24,6,380239.515625,4,20,1,13.8129,194,8,7,0,1024,1,2817720320,7,0,7,4,8,8,1,0.22956,1000,0,2433037.296875,192,200,1,14,
688128,2519350.890625,4,1,0,12.7347,154728.109375,1,10752,5,3,64,49152,688128,0.248936,1024,1,10880,32,24,6,393156.500000,4,20,1,12.7347,194,8,5,0,1536,1,2817720320,7,0,7,6,8,8,1,0.248996,1000,0,2516852.343750,192,200,1,14,
917504,2566864.906250,4,1,0,12.39,127465.796875,1,14336,5,3,64,49152,917504,0.255862,1024,1,13600,24,24,6,415693.984375,4,20,1,12.39,194,8,4,0,2048,1,2817720320,7,0,7,8,8,8,1,0.255924,1000,0,2570097.921875,192,200,1,14,
114688,1934158.125000,4,1,0,30.2494,175350.843750,1,1792,5,3,64,49152,114688,0.104761,1024,1,2880,96,12,24,152109.625000,4,20,1,30.2494,194,8,18,0,256,1,2817720320,7,0,7,2,16,2,1,0.104825,1000,0,1935463.031250,192,200,1,14,
229376,1912587.375000,4,1,0,26.7563,144770.250000,1,3584,5,3,64,49152,229376,0.118444,1024,1,4320,48,12,24,182265.593750,4,20,1,26.7563,194,8,12,0,512,1,2817720320,7,0,7,4,16,2,1,0.11851,1000,0,1914549.796875,192,200,1,14,
344064,1875789.890625,4,1,0,24.3318,126663.828125,1,5376,5,3,64,49152,344064,0.130259,1024,1,5760,32,12,24,198784.515625,4,20,1,24.3318,194,8,9,0,768,1,2817720320,7,0,7,6,16,2,1,0.130319,1000,0,1876979.734375,192,200,1,14,
458752,1841000.562500,4,1,0,23.8539,122956.187500,1,7168,5,3,64,49152,458752,0.132854,1024,1,7200,24,12,24,203070.593750,4,20,1,23.8539,194,8,7,0,1024,1,2817720320,7,0,7,8,16,2,1,0.13293,1000,0,1842529.531250,192,200,1,14,
229376,1865379.796875,4,1,0,25.7077,132347.515625,1,3584,5,3,64,49152,229376,0.123268,1024,1,5184,96,12,12,194874.546875,4,20,1,25.7077,194,8,10,0,512,1,2817720320,7,0,7,2,16,4,1,0.123344,1000,0,1868393.359375,192,200,1,14,
458752,2019540.234375,4,1,0,23.5066,118229.250000,1,7168,5,3,64,49152,458752,0.134828,1024,1,7776,48,12,12,207831.531250,4,20,1,23.5066,194,8,7,0,1024,1,2817720320,7,0,7,4,16,4,1,0.134894,1000,0,2021537.406250,192,200,1,14,
688128,1967136.437500,4,1,0,21.858,114289.640625,1,10752,5,3,64,49152,688128,0.145005,1024,1,10368,32,12,12,213030.234375,4,20,1,21.858,194,8,5,0,1536,1,2817720320,7,0,7,6,16,4,1,0.145068,1000,0,1970537.578125,192,200,1,14,
917504,1902515.593750,4,1,0,21.4329,103424.640625,1,14336,5,3,64,49152,917504,0.147876,1024,1,12960,24,12,12,222928.625000,4,20,1,21.4329,194,8,4,0,2048,1,2817720320,7,0,7,8,16,4,1,0.147945,1000,0,1899204.421875,192,200,1,14,
344064,2006992.343750,4,1,0,23.3582,107906.609375,1,5376,5,3,64,49152,344064,0.135684,1024,1,7488,96,12,8,217595.750000,4,20,1,23.3582,194,8,7,0,768,1,2817720320,7,0,7,2,16,6,1,0.135751,1000,0,2012023.875000,192,200,1,14,
688128,2103502.046875,4,1,0,21.8469,111315.000000,1,10752,5,3,64,49152,688128,0.145076,1024,1,11232,48,12,8,217164.312500,4,20,1,21.8469,194,8,5,0,1536,1,2817720320,7,0,7,4,16,6,1,0.145142,1000,0,2098335.328125,192,200,1,14,
1032192,1874569.578125,4,1,0,21.6674,107036.140625,1,16128,5,3,64,49152,1032192,0.146277,1024,1,14976,32,12,8,219763.250000,4,20,1,21.6674,194,8,4,0,2304,1,2817720320,7,0,7,6,16,6,1,0.146344,1000,0,1873489.453125,192,200,1,14,
1376256,1915886.687500,4,1,0,19.7188,86296.281250,1,21504,5,3,64,49152,1376256,0.160741,1024,1,18720,24,12,8,238221.750000,4,20,1,19.7188,194,8,3,0,3072,1,2817720320,7,0,7,8,16,6,1,0.160806,1000,0,1916403.812500,192,200,1,14,
458752,2033683.515625,4,1,0,22.9555,106939.187500,1,7168,5,3,64,49152,458752,0.138058,1024,1,9792,96,12,6,219458.281250,4,20,1,22.9555,194,8,6,0,1024,1,2817720320,7,0,7,2,16,8,1,0.138132,1000,0,2037481.234375,192,200,1,14,
917504,2095865.171875,4,1,0,21.1228,99792.484375,1,14336,5,3,64,49152,917504,0.150042,1024,1,14688,48,12,6,228917.531250,4,20,1,21.1228,194,8,4,0,2048,1,2817720320,7,0,7,4,16,8,1,0.150117,1000,0,2095893.218750,192,200,1,14,
1376256,1978300.031250,4,1,0,19.6665,84505.875000,1,21504,5,3,64,49152,1376256,0.161158,1024,1,19584,32,12,6,242210.203125,4,20,1,19.6665,194,8,3,0,3072,1,2817720320,7,0,7,6,16,8,1,0.161233,1000,0,1977122.203125,192,200,1,14,
1835008,1899481.890625,4,1,0,20.1526,102601.281250,1,28672,5,3,64,49152,1835008,0.15727,1024,1,24480,24,12,6,223212.406250,4,20,1,20.1526,194,8,3,0,4096,1,2817720320,7,0,7,8,16,8,1,0.157344,1000,0,1901159.984375,192,200,1,14,
172032,1829376.890625,4,1,0,30.9087,178758.906250,1,2688,5,3,64,49152,172032,0.102521,1024,1,4160,96,8,24,147215.281250,4,20,1,30.9087,194,8,12,0,384,1,2817720320,7,0,7,2,24,2,1,0.102589,1000,0,1831659.218750,192,200,1,14,
344064,1910342.234375,4,1,0,26.3121,144470.484375,1,5376,5,3,64,49152,344064,0.120444,1024,1,6240,48,8,24,180503.468750,4,20,1,26.3121,194,8,8,0,768,1,2817720320,7,0,7,4,24,2,1,0.120511,1000,0,1911652.921875,192,200,1,14,
516096,1838029.671875,4,1,0,25.4541,140387.515625,1,8064,5,3,64,49152,516096,0.124502,1024,1,8320,32,8,24,185794.921875,4,20,1,25.4541,194,8,6,0,1152,1,2817720320,7,0,7,6,24,2,1,0.124573,1000,0,1839381.640625,192,200,1,14,
688128,1800342.359375,4,1,0,24.003,138962.312500,1,10752,5,3,64,49152,688128,0.132034,1024,1,10400,24,8,24,189995.734375,4,20,1,24.003,194,8,5,0,1536,1,2817720320,7,0,7,8,24,2,1,0.132104,1000,0,1811849.125000,192,200,1,14,
344064,1888617.812500,4,1,0,25.685,134278.484375,1,5376,5,3,64,49152,344064,0.123387,1024,1,7488,96,8,12,192785.875000,4,20,1,25.685,194,8,7,0,768,1,2817720320,7,0,7,2,24,4,1,0.123453,1000,0,1890550.546875,192,200,1,14,
688128,1962279.640625,4,1,0,24.0774,134017.734375,1,10752,5,3,64,49152,688128,0.13162,1024,1,11232,48,8,12,193344.890625,4,20,1,24.0774,194,8,5,0,1536,1,2817720320,7,0,7,4,24,4,1,0.131696,1000,0,1975586.453125,192,200,1,14,
1032192,1801327.687500,4,1,0,29.6983,166594.187500,1,16128,5,3,64,49152,1032192,0.106694,1024,1,14976,32,8,12,156233.578125,4,20,1,29.6983,194,8,4,0,2304,1,2817720320,7,0,7,6,24,4,1,0.10677,1000,0,1802547.015625,192,200,1,14,
1376256,1798751.734375,4,1,0,22.5055,118079.718750,1,21504,5,3,64,49152,1376256,0.140831,1024,1,18720,24,8,12,207226.671875,4,20,1,22.5055,194,8,3,0,3072,1,2817720320,7,0,7,8,24,4,1,0.140894,1000,0,1799800.250000,192,200,1,14,
516096,1904376.078125,4,1,0,25.0412,129106.609375,1,8064,5,3,64,49152,516096,0.126563,1024,1,10816,96,8,8,196938.250000,4,20,1,25.0412,194,8,5,0,1152,1,2817720320,7,0,7,2,24,6,1,0.126627,1000,0,1907676.265625,192,200,1,14,
